"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2010";714,20;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2011";764,73;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2012";820,58;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2013";820,84;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2014";820,54;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2015";799,79;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2016";791,17;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2017";793,55;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2018";895,40;"zł";"";
0000000;"POLSKA";"styczeń";"węgiel kamienny - za 1t";"cena";"2019";897,25;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2006";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2007";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2008";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2009";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2010";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2011";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2012";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2013";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2014";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2015";;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2016";2,34;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2017";2,47;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2018";2,60;"zł";"";
0000000;"POLSKA";"styczeń";"gazeta regionalna";"cena";"2019";2,78;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2006";19,64;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2007";19,62;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2008";20,25;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2009";21,32;"zł";"";
0000000;"POLSKA";"luty";"szynka wieprzowa gotowana - za 1kg";"cena";"2010";21,97;"zł";"";
